Order Date,Sales,Isolation_Anomaly,Isolation_Label,Z_Score,Z_Anomaly
2015-01-04,304.508,-1,Anomaly,-1.4238619594600666,Normal
2015-01-11,4619.108,1,Normal,-0.8396803935655438,Normal
2015-01-18,4130.533,1,Normal,-0.9058317189623167,Normal
2015-01-25,3092.544,1,Normal,-1.0463717549798595,Normal
2015-02-01,2527.9139999999998,1,Normal,-1.1228206581345028,Normal
2015-02-08,968.534,-1,Anomaly,-1.3339551897769728,Normal
2015-02-15,2771.054,1,Normal,-1.0899003628738544,Normal
2015-02-22,224.912,-1,Anomaly,-1.4346389760824512,Normal
2015-03-01,2289.643,1,Normal,-1.155081708031887,Normal
2015-03-08,4030.7279999999996,1,Normal,-0.9193449626428672,Normal
2015-03-15,4139.602,1,Normal,-0.9046038084674627,Normal
2015-03-22,37703.665,-1,Anomaly,3.639851501670768,Anomaly
2015-03-29,3998.777,1,Normal,-0.923671014933206,Normal
2015-04-05,10363.902,1,Normal,-0.06185562309749153,Normal
2015-04-12,8418.293,1,Normal,-0.3252841940515722,Normal
2015-04-19,2198.37,1,Normal,-1.1674397491165511,Normal
2015-04-26,5660.104,1,Normal,-0.6987332203930748,Normal
2015-05-03,4974.812,1,Normal,-0.7915193311924513,Normal
2015-05-10,6332.464,1,Normal,-0.6076980566131552,Normal
2015-05-17,3967.87,1,Normal,-0.9278557133194069,Normal
2015-05-24,6241.9839999999995,1,Normal,-0.6199487283051167,Normal
2015-05-31,6523.233,1,Normal,-0.5818686093540507,Normal
2015-06-07,8569.948,1,Normal,-0.3047506439250868,Normal
2015-06-14,8683.282,1,Normal,-0.28940562153851807,Normal
2015-06-21,11139.4446,1,Normal,0.043150099445944674,Normal
2015-06-28,5143.957,1,Normal,-0.7686176969822743,Normal
2015-07-05,3158.3999999999996,1,Normal,-1.0374550857165328,Normal
2015-07-12,6290.629,1,Normal,-0.6133623675131685,Normal
2015-07-19,1387.6860000000001,-1,Anomaly,-1.2772034928159983,Normal
2015-07-26,21590.079999999998,1,Normal,1.4581291363357445,Normal
2015-08-02,3255.66,1,Normal,-1.0242864260264337,Normal
2015-08-09,13454.076000000001,1,Normal,0.35654299698468095,Normal
2015-08-16,3187.942,1,Normal,-1.0334552034980986,Normal
2015-08-23,4366.4980000000005,1,Normal,-0.8738828933014673,Normal
2015-08-30,4901.8925,1,Normal,-0.801392373350298,Normal
2015-09-06,4234.85,1,Normal,-0.8917075664546871,Normal
2015-09-13,29959.137,-1,Anomaly,2.5912698268564225,Anomaly
2015-09-20,20685.832000000002,1,Normal,1.3356971582619976,Normal
2015-09-27,17249.3338,1,Normal,0.8704074675213241,Normal
2015-10-04,11781.179,1,Normal,0.13003866540347994,Normal
2015-10-11,4751.272,1,Normal,-0.8217858558390144,Normal
2015-10-18,10468.226,1,Normal,-0.04773052281464248,Normal
2015-10-25,3882.9900000000002,1,Normal,-0.9393481648359152,Normal
2015-11-01,14794.436,1,Normal,0.538022995979346,Normal
2015-11-08,14934.875,1,Normal,0.557037939411567,Normal
2015-11-15,15130.8292,1,Normal,0.583569444394557,Normal
2015-11-22,26793.6235,1,Normal,2.16267050518344,Anomaly
2015-11-29,16191.363,1,Normal,0.7271619665213053,Normal
2015-12-06,13185.832,1,Normal,0.3202237089946446,Normal
2015-12-13,8971.064499999999,1,Normal,-0.25044088981668056,Normal
2015-12-20,23416.453,1,Normal,1.7054135749969133,Normal
2015-12-27,10632.52,1,Normal,-0.025485696831451774,Normal
2016-01-03,15880.6606,1,Normal,0.6850939614781526,Normal
2016-01-10,1973.444,1,Normal,-1.1978939332565388,Normal
2016-01-17,1720.158,1,Normal,-1.2321879609993562,Normal
2016-01-24,358.522,-1,Anomaly,-1.416548655074903,Normal
2016-01-31,10314.516,1,Normal,-0.06854231266622725,Normal
2016-02-07,3249.4900000000002,1,Normal,-1.025121822184031,Normal
2016-02-14,2071.846,1,Normal,-1.1845706508092313,Normal
2016-02-21,4776.534,1,Normal,-0.8183654704689622,Normal
2016-02-28,1853.5410000000002,1,Normal,-1.2141283749882057,Normal
2016-03-06,6066.2554,1,Normal,-0.6437417586487063,Normal
